song_id,old_album_id,new_album_id,artist_id
1,1,826,1
2,1,826,1
22,592,826,1
23,1,826,1
125,1,826,1
131,1,826,1
132,1,826,1
180,106,826,1
183,108,826,1
185,110,826,1
188,113,826,1
192,1,826,1
201,121,826,1
204,1,826,1
214,130,826,1
235,1,826,1
256,154,826,1
257,155,826,1
266,164,826,1
267,165,826,1
269,167,826,1
271,169,826,1
276,174,826,1
287,174,826,1
290,182,826,1
299,187,826,1
332,196,826,1
334,198,826,1
335,199,826,1
336,200,826,1
337,201,826,1
343,205,826,1
345,207,826,1
346,208,826,1
353,212,826,1
372,218,826,1
385,222,826,1
388,225,826,1
401,228,826,1
417,232,826,1
459,248,826,1
460,249,826,1
473,256,826,1
481,261,826,1
493,269,826,1
499,273,826,1
504,275,826,1
510,278,826,1
512,279,826,1
513,280,826,1
515,282,826,1
516,283,826,1
520,286,826,1
521,287,826,1
522,288,826,1
523,289,826,1
524,290,826,1
525,291,826,1
528,293,826,1
529,294,826,1
533,297,826,1
536,300,826,1
537,301,826,1
539,303,826,1
540,304,826,1
545,309,826,1
546,310,826,1
550,313,826,1
551,314,826,1
556,319,826,1
557,320,826,1
558,321,826,1
559,322,826,1
560,323,826,1
561,324,826,1
562,325,826,1
566,329,826,1
567,330,826,1
573,336,826,1
576,339,826,1
577,340,826,1
579,342,826,1
580,343,826,1
581,344,826,1
583,346,826,1
584,347,826,1
586,348,826,1
587,349,826,1
588,350,826,1
589,351,826,1
590,352,826,1
591,353,826,1
593,355,826,1
596,358,826,1
600,1,826,1
602,363,826,1
604,365,826,1
605,366,826,1
606,367,826,1
607,368,826,1
608,369,826,1
610,371,826,1
612,373,826,1
614,375,826,1
620,380,826,1
622,381,826,1
623,382,826,1
626,385,826,1
628,387,826,1
635,394,826,1
637,396,826,1
640,399,826,1
641,400,826,1
646,405,826,1
647,406,826,1
650,409,826,1
652,411,826,1
653,412,826,1
654,413,826,1
657,416,826,1
658,417,826,1
659,418,826,1
660,419,826,1
662,420,826,1
664,422,826,1
665,423,826,1
666,424,826,1
670,428,826,1
671,429,826,1
672,430,826,1
673,431,826,1
677,434,826,1
678,435,826,1
680,437,826,1
683,439,826,1
684,440,826,1
685,441,826,1
689,443,826,1
693,447,826,1
694,448,826,1
698,450,826,1
699,451,826,1
700,452,826,1
704,456,826,1
705,457,826,1
706,458,826,1
707,459,826,1
708,460,826,1
714,465,826,1
715,466,826,1
718,469,826,1
719,470,826,1
727,478,826,1
728,479,826,1
731,482,826,1
732,483,826,1
738,489,826,1
741,492,826,1
745,494,826,1
746,495,826,1
749,498,826,1
750,499,826,1
759,505,826,1
761,507,826,1
762,508,826,1
763,509,826,1
764,510,826,1
766,511,826,1
767,512,826,1
770,515,826,1
772,517,826,1
773,518,826,1
789,523,826,1
791,526,826,1
792,527,826,1
793,528,826,1
795,530,826,1
796,531,826,1
800,535,826,1
801,536,826,1
804,539,826,1
805,540,826,1
806,541,826,1
808,543,826,1
873,590,826,1
874,591,826,1
897,606,826,1
918,710,826,1
923,614,826,1
924,615,826,1
928,1,826,1
929,1,826,1
930,1,826,1
1047,1,826,1
1050,684,826,1
1090,709,826,1
1091,711,826,1
1092,712,826,1
1093,713,826,1
1094,714,826,1
1095,715,826,1
1096,716,826,1
1097,717,826,1
1098,718,826,1
1099,1,826,1
1167,1,826,1
1168,749,826,1
1169,1,826,1
1170,750,826,1
1259,812,826,1
1260,1,826,1
1276,822,826,1
